season,week,game_id,team,y,position,player_id,v42,extra40_recent,candidate
2024,1,2024_01_ARI_BUF,ARI,8,K,00-0023853,7.251476431009521,6.892791591821383,7.161805221212486
2024,1,2024_01_ARI_BUF,BUF,10,K,00-0036162,8.926477345035305,8.80615101771322,8.896395763204783
2024,1,2024_01_BAL_KC,BAL,8,K,00-0029597,7.669592170599627,7.955202078230898,7.740994647507444
2024,1,2024_01_BAL_KC,KC,9,K,00-0033303,8.593930861495167,8.354570057056952,8.534090660385614
2024,1,2024_01_CAR_NO,CAR,5,K,00-0034173,8.032766694286405,8.04071727193499,8.034754338698551
2024,1,2024_01_CAR_NO,NO,22,K,00-0038905,8.304112282196257,8.624564035553846,8.384225220535654
2024,1,2024_01_DAL_CLE,CLE,7,K,00-0030098,7.805785277024212,8.140411811148539,7.889441910555293
2024,1,2024_01_DAL_CLE,DAL,21,K,00-0037692,7.510429818460886,7.4831487841649205,7.503609559886895
2024,1,2024_01_DEN_SEA,DEN,11,K,00-0032569,7.351159805264652,8.108725781207346,7.5405512992503265
2024,1,2024_01_DEN_SEA,SEA,10,K,00-0031492,8.50350400468364,9.32473556393449,8.708811894496352
2024,1,2024_01_GB_PHI,GB,11,K,00-0039649,8.0854479551359,7.108119988656338,7.8411159635160095
2024,1,2024_01_GB_PHI,PHI,10,K,00-0033787,8.441708461045291,8.390397227249627,8.428880652596375
2024,1,2024_01_HOU_IND,HOU,17,K,00-0032726,8.99475414090137,9.067495519477584,9.012939485545422
2024,1,2024_01_HOU_IND,IND,3,K,00-0039576,8.020142965690136,8.00888514644691,8.01732851087933
2024,1,2024_01_JAX_MIA,JAX,7,K,00-0039409,7.904780560075506,6.855830409680158,7.642543022476669
2024,1,2024_01_JAX_MIA,MIA,10,K,00-0034794,8.254160757815333,8.81308608922666,8.393892090668164
2024,1,2024_01_LA_DET,DET,8,K,00-0039172,8.814672634784717,8.176305457820991,8.655080840543786
2024,1,2024_01_LA_DET,LA,9,K,00-0039750,8.165489130607671,7.8184214861047225,8.078722219481934
2024,1,2024_01_LV_LAC,LAC,12,K,00-0037224,9.609026618130008,8.729508132755278,9.389146996786325
2024,1,2024_01_LV_LAC,LV,4,K,00-0034161,7.8748886788955526,8.34387360140696,7.992134909523404
2024,1,2024_01_MIN_NYG,MIN,4,K,00-0039404,7.978194134755805,7.87820208039294,7.953196121165089
2024,1,2024_01_MIN_NYG,NYG,8,K,00-0026858,8.178775456265846,8.166000535755357,8.175581726138224
2024,1,2024_01_NE_CIN,CIN,6,K,00-0036854,8.935026707077498,9.151319403977062,8.989099881302389
2024,1,2024_01_NE_CIN,NE,10,K,00-0035192,7.09060244774183,7.468024271731831,7.18495790373933
2024,1,2024_01_NYJ_SF,NYJ,1,K,00-0029621,7.773315752938067,6.993312135490581,7.578314848576195
